round,sampler,transect,filter_x,filter_y,grains_dk,grains_yy,grains_average,notes
1,1,1,33,29 - 11,3,3,3,this transect runs into the blue line.  
1,1,2,35,12 - 29,5,5,,
1,1,3,37,29 - 13,4,1,,
1,1,4,39,14 - 29,0,0,,
1,1,5,41,29 - 14,1,0,,
1,1,6,43,15 - 29,1,0,,
1,1,7,45,29 - 17,0,0,,
1,1,8,47,19 - 29,0,0,,
1,1,9,49,29 - 23,1,1,,
1,2,1,34,11 - 29,1,,,
1,2,2,36,29 - 12,0,,,
1,2,3,38,12 - 29,0,,,
1,2,4,40,29 - 12,0,,,
1,2,5,42,13 - 29,1,,,
1,2,6,44,29 - 15,1,,,
1,2,7,46,17 - 29,0,,,
1,2,8,48,29 - 20,0,,,
1,2,9,50,24 - 29,0,,,
1,3,1,34,12 - 29,16,,,
1,3,2,36,29 - 12,13,,,
1,3,3,38,12 - 29,10,,,
1,3,4,40,29 - 13,7,,,
1,3,5,42,14 - 29,19,,,
1,3,6,44,29 - 16,6,,,
1,3,7,46,18 - 29,10,,,
1,3,8,48,29 - 21,1,,,
1,3,9,50,24 - 29,1,,,
1,4,1,34,12 - 29,0,,,
1,4,2,36,29 - 12,0,,,
1,4,3,38,12 - 29,0,,,
1,4,4,40,29 - 13,0,,,
1,4,5,42,14 - 29,0,,,
1,4,6,44,29 - 16,0,,,
1,4,7,46,18 - 29,0,,,
1,4,8,48,29 - 21,1,,,
1,4,9,50,24 - 29,0,,,
1,5,1,34,12 - 29,15,,,
1,5,2,36,29 - 12,13,,,
1,5,3,38,12 - 29,2,,,
1,5,4,40,29 - 13,10,,,
1,5,5,42,14 - 29,4,,,
1,5,6,44,29 - 16,2,,,
1,5,7,46,18 - 29,0,,,
1,5,8,48,29 - 21,3,,,
1,5,9,50,24 - 29,0,,,
1,6,1,34,12 - 29,50,,,
1,6,2,36,29 - 12,21,,,
1,6,3,38,12 - 29,24,,,
1,6,4,40,29 - 13,41,,,
1,6,5,42,14 - 29,28,,,
1,6,6,44,29 - 16,30,,,
1,6,7,46,18 - 29,33,,,
1,6,8,48,29 - 21,10,,,
1,6,9,50,24 - 29,1,,,
1,7,1,34,11 - 29,12,,,
1,7,2,36,29 - 12,5,,,
1,7,3,38,12 - 29,1,,,
1,7,4,40,29 - 13,4,,,
1,7,5,42,14 - 29,5,,,
1,7,6,44,29 - 16,2,,,
1,7,7,46,18 - 29,1,,,
1,7,8,48,29 - 21,2,,,
1,7,9,50,24 - 29,0,,,
1,8,1,34,11 - 29,3,,,
1,8,2,36,29 - 12,3,,,
1,8,3,38,12 - 29,0,,,
1,8,4,40,29 - 13,32,,,
1,8,5,42,14 - 29,1,,,
1,8,6,44,29 - 16,0,,,
1,8,7,46,18 - 29,0,,,
1,8,8,48,29 - 21,2,,,
1,8,9,50,24 - 29,2,,,
2,1,1,34,11 - 29,0,,,
2,1,2,36,29 - 12,0,,,
